"id","name","unit_name","nutrient_nbr","rank","drv","category"
"1267","SFA 20:0","G","615","11100.0",,"Lipids"
"1268","MUFA 18:1","G","617","12100.0",,"Lipids"
"1269","PUFA 18:2","G","618","13100.0",,"Lipids"
"1270","PUFA 18:3","G","619","13900.0",,"Lipids"
"1271","PUFA 20:4","G","620","14700.0",,"Lipids"
"1272","DHA PUFA 22:6 n-3","G","621","15300.0",0.25,"Lipids"
"1273","SFA 22:0","G","624","11200.0",,"Lipids"
"1274","MUFA 14:1","G","625","11500.0",,"Lipids"
"1275","MUFA 16:1","G","626","11700.0",,"Lipids"
"1276","PUFA 18:4","G","627","14250.0",,"Lipids"
"1277","MUFA 20:1","G","628","12400.0",,"Lipids"
"1278","EPA PUFA 20:5 n-3","G","629","15000.0",0.25,"Lipids"
"1279","MUFA 22:1","G","630","12500.0",,"Lipids"
"1280","PUFA 22:5 n-3 (DPA)","G","631","15200.0",,"Lipids"
"1281","TFA 14:1 t","G","821","15510.0",,"Lipids"
"1283","Phytosterols","MG","636","15800.0",,"Lipids"
"1284","Ergosterol","MG","637","16220.0",,"Lipids"
"1285","Stigmasterol","MG","638","15900.0",,"Lipids"
"1286","Campesterol","MG","639","16000.0",,"Lipids"
"1287","Brassicasterol","MG","640","16100.0",,"Lipids"
"1288","Beta-sitosterol","MG","641","16200.0",,"Lipids"
"1289","Campestanol","MG","642","16221.0",,"Lipids"
"1290","Unsaponifiable matter (lipids)","G","643","999999.0",,"Lipids"
"1291","Fatty acids, other than 607-615, 617-621, 624-632, 652-654, 686-689)","G","644","999999.0",,"Lipids"
"1292","Fatty acids, total monounsaturated","G","645","11400.0",,"Lipids"
"1293","Fatty acids, total polyunsaturated","G","646","12900.0",,"Lipids"
"1294","Beta-sitostanol","MG","647","16222.0",,"Lipids"
"1295","Delta-7-avenasterol","MG","648","16223.0",,"Lipids"
"1296","Delta-5-avenasterol","MG","649","16224.0",,"Lipids"
"1297","Alpha-spinasterol","MG","650","16225.0",,"Lipids"
"1298","Phytosterols, other","MG","651","16227.0",,"Lipids"
"1299","SFA 15:0","G","652","10600.0",,"Lipids"
"1300","SFA 17:0","G","653","10800.0",,"Lipids"
"1301","SFA 24:0","G","654","11300.0",,"Lipids"
"1302","Wax Esters(Total Wax)","G","661","999999.0",,"Lipids"
"1303","TFA 16:1 t","G","662","15520.0",,"Lipids"
"1304","TFA 18:1 t","G","663","15521.0",,"Lipids"
"1305","TFA 22:1 t","G","664","15550.0",,"Lipids"
"1306","TFA 18:2 t not further defined","G","665","15610.0",,"Lipids"
"1307","PUFA 18:2 i","G","666","13350.0",,"Lipids"
"1308","PUFA 18:2 t,c","G","667","13500.0",,"Lipids"
"1309","PUFA 18:2 c,t","G","668","13400.0",,"Lipids"
"1310","TFA 18:2 t,t","G","669","15615.0",,"Lipids"
"1311","PUFA 18:2 CLAs","G","670","13300.0",,"Lipids"
"1312","MUFA 24:1 c","G","671","12800.0",,"Lipids"
"1313","PUFA 20:2 n-6 c,c","G","672","14300.0",,"Lipids"
"1314","MUFA 16:1 c","G","673","11800.0",,"Lipids"
"1315","MUFA 18:1 c","G","674","12200.0",,"Lipids"
"1316","PUFA 18:2 n-6 c,c","G","675","13200.0",,"Lipids"
"1317","MUFA 22:1 c","G","676","12600.0",,"Lipids"
"1318","Fatty acids, saturated, other","G","677","999999.0",,"Lipids"
"1319","Fatty acids, monounsat., other","G","678","999999.0",,"Lipids"
"1320","Fatty acids, polyunsat., other","G","679","999999.0",,"Lipids"
"1321","PUFA 18:3 n-6 c,c,c","G","685","14100.0",,"Lipids"
"1322","SFA 19:0","G","686","11000.0",,"Lipids"
"1323","MUFA 17:1","G","687","12000.0",,"Lipids"
"1324","PUFA 16:2","G","688","13000.0",,"Lipids"
"1325","PUFA 20:3","G","689","14400.0",,"Lipids"
"1326","Fatty acids, total sat., NLEA","G","690","999999.0",,"Lipids"
"1327","Fatty acids, total monounsat., NLEA","G","691","999999.0",,"Lipids"
"1328","Fatty acids, total polyunsat., NLEA","G","692","999999.0",,"Lipids"
"1329","Fatty acids, total trans-monoenoic","G","693","15500.0",,"Lipids"
"1330","Fatty acids, total trans-dienoic","G","694","15601.0",,"Lipids"
"1331","Fatty acids, total trans-polyenoic","G","695","15619.0",,"Lipids"
"1332","SFA 13:0","G","696","10400.0",,"Lipids"
"1333","MUFA 15:1","G","697","11600.0",,"Lipids"
"1334","PUFA 22:2","G","698","15100.0",,"Lipids"
"1335","SFA 11:0","G","699","10200.0",,"Lipids"
"1404","ALA PUFA 18:3 n-3 c,c,c","G","851","14000.0",1.5,"Lipids"
"1405","PUFA 20:3 n-3","G","852","14500.0",,"Lipids"
"1406","PUFA 20:3 n-6","G","853","14600.0",,"Lipids"
"1407","PUFA 20:4 n-3","G","854","14800.0",,"Lipids"
"1408","PUFA 20:4 n-6","G","855","14900.0",,"Lipids"
"1409","PUFA 18:3i","G","856","14200.0",,"Lipids"
"1410","PUFA 21:5","G","857","15100.0",,"Lipids"
"1411","PUFA 22:4","G","858","15160.0",,"Lipids"
"1412","MUFA 18:1-11 t (18:1t n-7)","G","859","12310.0",,"Lipids"
"1413","MUFA 18:1-11 c (18:1c n-7)","G","860","12210.0",,"Lipids"
"1414","PUFA 20:3 n-9","G","861","14650.0",,"Lipids"
"2003","SFA 5:0","G","632","9850.0",,"Lipids"
"2004","SFA 7:0","G","633","9950.0",,"Lipids"
"2005","SFA 9:0","G","634","10050.0",,"Lipids"
"2006","SFA 21:0","G","681","11150.0",,"Lipids"
"2007","SFA 23:0","G","682","11250.0",,"Lipids"
"2008","MUFA 12:1","G","635","11450.0",,"Lipids"
"2009","MUFA 14:1 c","G","822","11501.0",,"Lipids"
"2010","MUFA 17:1 c","G","825","12001.0",,"Lipids"
"2011","TFA 17:1 t","G","826","15525.0",,"Lipids"
"2012","MUFA 20:1 c","G","829","12401.0",,"Lipids"
"2013","TFA 20:1 t","G","830","15540.0",,"Lipids"
"2014","MUFA 22:1 n-9","G","676.1","12601.0",,"Lipids"
"2015","MUFA 22:1 n-11","G","676.2","12602.0",,"Lipids"
"2016","PUFA 18:2 c","G","831","13150.0",,"Lipids"
"2017","TFA 18:2 t","G","832","15611.0",,"Lipids"
"2018","PUFA 18:3 c","G","833","13910.0",,"Lipids"
"2019","TFA 18:3 t","G","834","15660.0",,"Lipids"
"2020","PUFA 20:3 c","G","835","14450.0",,"Lipids"
"2021","PUFA 22:3","G","683","14675.0",,"Lipids"
"2022","PUFA 20:4c","G","836","14750.0",,"Lipids"
"2023","PUFA 20:5c","G","837","14950.0",,"Lipids"
"2024","PUFA 22:5 c","G","838","15150.0",,"Lipids"
"2025","PUFA 22:6 c","G","839","15250.0",,"Lipids"
"2026","PUFA 20:2 c","G","840","14250.0",,"Lipids"
"2044","Lipids","G",950,"9600.0",70,"Lipids"
"2053","Stigmastadiene","MG",,"15801.0",,"Lipids"
"2052","Delta-7-Stigmastenol","MG",,"16226.0",,"Lipids"
"2060","Ergosta-7-enol","MG",,"16210.0",,"Lipids"
"2061","Ergosta-7,22-dienol","MG",,"16211.0",,"Lipids"
"2062","Ergosta-5,7-dienol","MG",,"16211.0",,"Lipids"
"1003","Protein","G","203","600.0",160,"Proteins"
"1053","Adjusted Protein","G","257","700.0",,"Proteins"
"1210","Tryptophan","G","501","16300.0",,"Proteins"
"1211","Threonine","G","502","16400.0",,"Proteins"
"1212","Isoleucine","G","503","16500.0",,"Proteins"
"1213","Leucine","G","504","16600.0",,"Proteins"
"1214","Lysine","G","505","16700.0",,"Proteins"
"1215","Methionine","G","506","16800.0",,"Proteins"
"1216","Cystine","G","507","16900.0",,"Proteins"
"1217","Phenylalanine","G","508","17000.0",,"Proteins"
"1218","Tyrosine","G","509","17100.0",,"Proteins"
"1219","Valine","G","510","17200.0",,"Proteins"
"1220","Arginine","G","511","17300.0",,"Proteins"
"1221","Histidine","G","512","17400.0",,"Proteins"
"1222","Alanine","G","513","17500.0",,"Proteins"
"1223","Aspartic acid","G","514","17600.0",,"Proteins"
"1224","Glutamic acid","G","515","17700.0",,"Proteins"
"1225","Glycine","G","516","17800.0",,"Proteins"
"1226","Proline","G","517","17900.0",,"Proteins"
"1227","Serine","G","518","18000.0",,"Proteins"
"1228","Hydroxyproline","G","521","18100.0",,"Proteins"
"1229","Cysteine and methionine(sulfer containig AA)","G","522","999999.0",,"Proteins"
"1230","Phenylalanine and tyrosine (aromatic  AA)","G","523","16950.0",,"Proteins"
"1231","Asparagine","G","525","999999.0",,"Proteins"
"1232","Cysteine","G","526","18150.0",,"Proteins"
"1233","Glutamine","G","528","999999.0",,"Proteins"
"1234","Taurine","G","529","999999.0",,"Proteins"
"2042","Amino acids","G","500","16250.0",,"Proteins"
"1104","Vitamin A, IU","IU","318","7500.0",,"Vitamins"
"1105","Retinol","UG","319","7430.0",,"Vitamins"
"1106","Vitamin A, RAE","UG","320","7420.0","900","Vitamins"
"1107","Carotene, beta","UG","321","7440.0",,"Vitamins"
"1108","Carotene, alpha","UG","322","7450.0",,"Vitamins"
"1109","Vitamin E (alpha-tocopherol)","MG","323","7905.0","15","Vitamins"
"1110","Vitamin D (D2 + D3), International Units","IU","324","8650.0",,"Vitamins"
"1111","Vitamin D2 (ergocalciferol)","UG","325","8710.0",,"Vitamins"
"1112","Vitamin D3 (cholecalciferol)","UG","326","8720.0",,"Vitamins"
"1113","25-hydroxycholecalciferol","UG","327","8730.0",,"Vitamins"
"1114","Vitamin D (D2 + D3)","UG","328","8700.0","20","Vitamins"
"1115","25-hydroxyergocalciferol","UG","329","8740.0",,"Vitamins"
"1118","Carotene, gamma","UG","332","7455.0",,"Vitamins"
"1119","Zeaxanthin","UG","338.2","7564.0",,"Vitamins"
"1120","Cryptoxanthin, beta","UG","334","7460.0",,"Vitamins"
"1121","Lutein","UG","338.1","7562.0",,"Vitamins"
"1122","Lycopene","UG","337","7530.0",,"Vitamins"
"1123","Lutein + zeaxanthin","UG","338","7560.0",,"Vitamins"
"1124","Vitamin E (label entry primarily)","IU","340","999999.0",,"Vitamins"
"1125","Tocopherol, beta","MG","341","8000.0",,"Vitamins"
"1126","Tocopherol, gamma","MG","342","8100.0",,"Vitamins"
"1127","Tocopherol, delta","MG","343","8200.0",,"Vitamins"
"1128","Tocotrienol, alpha","MG","344","8300.0",,"Vitamins"
"1129","Tocotrienol, beta","MG","345","8400.0",,"Vitamins"
"1130","Tocotrienol, gamma","MG","346","8500.0",,"Vitamins"
"1131","Tocotrienol, delta","MG","347","8600.0",,"Vitamins"
"1156","Vitamin A, RE","MCG_RE","392","7500.0",,"Vitamins"
"1157","Carotene","MCG_RE","393","7600.0",,"Vitamins"
"1158","Vitamin E","MG_ATE","394","7800.0","15","Vitamins"
"1159","cis-beta-Carotene","UG","321.1","7442.0",,"Vitamins"
"1160","cis-Lycopene","UG","337.1","7532.0",,"Vitamins"
"1161","cis-Lutein/Zeaxanthin","UG","338.3","7561.0",,"Vitamins"
"1162","Vitamin C, total ascorbic acid","MG","401","6300.0","90","Vitamins"
"1163","Vitamin C, reduced ascorbic acid","MG","402","999999.0",,"Vitamins"
"1164","Vitamin C, dehydro ascorbic acid","MG","403","999999.0",,"Vitamins"
"1165","Thiamin","MG","404","6400.0","1.2","Vitamins"
"1166","Riboflavin","MG","405","6500.0","1.3","Vitamins"
"1167","Niacin","MG","406","6600.0","16","Vitamins"
"1168","Niacin from tryptophan, determined","MG","407","999999.0",,"Vitamins"
"1169","Niacin equivalent N406 +N407","MG","409","999999.0",,"Vitamins"
"1170","Pantothenic acid","MG","410","6700.0","5","Vitamins"
"1171","Vitamin B-6, pyridoxine, alcohol form","MG","411","999999.0",,"Vitamins"
"1172","Vitamin B-6, pyridoxal, aldehyde form","MG","412","999999.0",,"Vitamins"
"1173","Vitamin B-6, pyridoxamine, amine form","MG","413","999999.0",,"Vitamins"
"1174","Vitamin B-6, N411 + N412 +N413","MG","414","999999.0",,"Vitamins"
"1175","Vitamin B-6","MG","415","6800.0","1.7","Vitamins"
"1176","Biotin","UG","416","6850.0",,"Vitamins"
"1177","Folate, total","UG","417","6900.0","400","Vitamins"
"1178","Vitamin B-12","UG","418","7300.0","2.4","Vitamins"
"1179","Folate, free","UG","419","999999.0",,"Vitamins"
"1180","Choline, total","MG","421","7220.0",550,"Vitamins"
"1183","Vitamin K (Menaquinone-4)","UG","428","8950.0","50","Vitamins"
"1184","Vitamin K (Dihydrophylloquinone)","UG","429","8900.0",,"Vitamins"
"1185","Vitamin K (phylloquinone)","UG","430","8800.0","120","Vitamins"
"1186","Folic acid","UG","431","7000.0",,"Vitamins"
"1187","Folate, food","UG","432","7100.0",,"Vitamins"
"1188","5-methyl tetrahydrofolate (5-MTHF)","UG","433","999999.0",,"Vitamins"
"1189","Folate, not 5-MTHF","UG","434","999999.0",,"Vitamins"
"1190","Folate, DFE","UG","435","7200.0",,"Vitamins"
"1191","10-Formyl folic acid (10HCOFA)","UG","436","999999.0",,"Vitamins"
"1192","5-Formyltetrahydrofolic acid (5-HCOH4","UG","437","999999.0",,"Vitamins"
"1193","Tetrahydrofolic acid (THF)","UG","438","999999.0",,"Vitamins"
"1194","Choline, free","MG","450","7230.0",,"Vitamins"
"1195","Choline, from phosphocholine","MG","451","7240.0",,"Vitamins"
"1196","Choline, from phosphotidyl choline","MG","452","7250.0",,"Vitamins"
"1197","Choline, from glycerophosphocholine","MG","453","7260.0",,"Vitamins"
"1199","Choline, from sphingomyelin","MG","455","7270.0",,"Vitamins"
"1241","Vitamin C, added","MG","571","6340.0",,"Vitamins"
"1242","Vitamin E, added","MG","573","7920.0",,"Vitamins"
"1243","Thiamin, added","MG","574","6440.0",,"Vitamins"
"1244","Riboflavin, added","MG","575","6540.0",,"Vitamins"
"1245","Niacin, added","MG","576","6640.0",,"Vitamins"
"1246","Vitamin B-12, added","UG","578","7340.0",,"Vitamins"
"1247","Vitamin C, intrinsic","MG","581","6320.0",,"Vitamins"
"1248","Vitamin E, intrinsic","MG","583","7930.0",,"Vitamins"
"1249","Thiamin, intrinsic","MG","584","6420.0",,"Vitamins"
"1250","Riboflavin, intrinsic","MG","585","6520.0",,"Vitamins"
"1251","Niacin, intrinsic","MG","586","6620.0",,"Vitamins"
"1252","Vitamin B-12, intrinsic","UG","588","7320.0",,"Vitamins"
"2028","trans-beta-Carotene","UG","321.2","7444.0",,"Vitamins"
"2029","trans-Lycopene","UG","337.2","7534.0",,"Vitamins"
"2032","Cryptoxanthin, alpha","UG","335","7461.0",,"Vitamins"
"2040","Other carotenoids","UG","955","7510.0",,"Vitamins"
"2041","Tocopherols and tocotrienols","MG","323.99","7900.0",,"Vitamins"
"2046","Vitamins and Other Components","G","952","6250.0",,"Vitamins"
"2055","Total Tocopherols","MG",,"7901.0",,"Vitamins"
"2054","Total Tocotrienols","MG",,"7902.0",,"Vitamins"
"2059","Vitamin D4","UG",,"8730.0",,"Vitamins"
"2068","Vitamin E","MG","959","7810","15","Vitamins"
"2067","Vitamin A","UG","960","7430",900,"Vitamins"
"1087","Calcium, Ca","MG","301","5300.0","1000","Minerals"
"1088","Chlorine, Cl","MG","302","999999.0",,"Minerals"
"1089","Iron, Fe","MG","303","5400.0","10","Minerals"
"1090","Magnesium, Mg","MG","304","5500.0","420","Minerals"
"1091","Phosphorus, P","MG","305","5600.0","700","Minerals"
"1092","Potassium, K","MG","306","5700.0","3400","Minerals"
"1093","Sodium, Na","MG","307","5800.0","1500","Minerals"
"1094","Sulfur, S","MG","308","6241.0",,"Minerals"
"1095","Zinc, Zn","MG","309","5900.0","11","Minerals"
"1096","Chromium, Cr","UG","310","999999.0",,"Minerals"
"1097","Cobalt, Co","UG","311","6244.0",,"Minerals"
"1098","Copper, Cu","MG","312","6000.0","0.9","Minerals"
"1099","Fluoride, F","UG","313","6240.0",,"Minerals"
"1100","Iodine, I","UG","314","6150.0","150","Minerals"
"1101","Manganese, Mn","MG","315","6100.0","2.3","Minerals"
"1102","Molybdenum, Mo","UG","316","6243.0","45","Minerals"
"1103","Selenium, Se","UG","317","6200.0",55,"Minerals"
"1132","Aluminum, Al","UG","348","999999.0",,"Minerals"
"1133","Antimony, Sb","UG","349","999999.0",,"Minerals"
"1134","Arsenic, As","UG","350","999999.0",,"Minerals"
"1135","Barium, Ba","UG","351","999999.0",,"Minerals"
"1136","Beryllium, Be","UG","352","999999.0",,"Minerals"
"1137","Boron, B","UG","354","6245.0",,"Minerals"
"1138","Bromine, Br","UG","355","999999.0",,"Minerals"
"1139","Cadmium, Cd","UG","356","999999.0",,"Minerals"
"1140","Gold, Au","UG","363","999999.0",,"Minerals"
"1141","Iron, heme","MG","364","999999.0",,"Minerals"
"1142","Iron, non-heme","MG","365","999999.0",,"Minerals"
"1143","Lead, Pb","UG","367","999999.0",,"Minerals"
"1144","Lithium, Li","UG","368","999999.0",,"Minerals"
"1145","Mercury, Hg","UG","370","999999.0",,"Minerals"
"1146","Nickel, Ni","UG","371","6242.0",,"Minerals"
"1147","Rubidium, Rb","UG","373","999999.0",,"Minerals"
"1148","Fluoride - DO NOT USE; use 313","UG","374","6250.0",,"Minerals"
"1149","Salt, NaCl","MG","375","999999.0",,"Minerals"
"1150","Silicon, Si","UG","378","999999.0",,"Minerals"
"1151","Silver, Ag","UG","379","999999.0",,"Minerals"
"1152","Strontium, Sr","UG","380","999999.0",,"Minerals"
"1153","Tin, Sn","UG","385","999999.0",,"Minerals"
"1154","Titanium, Ti","UG","386","999999.0",,"Minerals"
"1155","Vanadium, V","UG","389","999999.0",,"Minerals"
"1237","Calcium, added","MG","551","5340.0",,"Minerals"
"1238","Iron, added","MG","553","5440.0",,"Minerals"
"1239","Calcium, intrinsic","MG","561","5320.0",,"Minerals"
"1240","Iron, intrinsic","MG","563","5420.0",,"Minerals"
"2043","Minerals","MG","300","5200.0",,"Minerals"
"1001","Solids","G","201","200.0",,"Other"
"1002","Nitrogen","G","202","500.0",,"Other"
"1007","Ash","G","207","1000.0",,"Other"
"1018","Alcohol, ethyl","G","221","18200.0",,"Other"
"1023","pH","PH","226","999999.0",,"Other"
"1024","Specific Gravity","SP_GR","227","8955",,"Other"
"1025","Organic acids","G","229","2850.0",,"Other"
"1026","Acetic acid","MG","230","2900.0",,"Other"
"1027","Aconitic acid","MG","231","3000.0",,"Other"
"1028","Benzoic acid","MG","232","3100.0",,"Other"
"1029","Chelidonic acid","MG","233","3200.0",,"Other"
"1030","Chlorogenic acid","MG","234","3300.0",,"Other"
"1031","Cinnamic acid","MG","235","3400.0",,"Other"
"1032","Citric acid","MG","236","3500.0",,"Other"
"1033","Fumaric acid","MG","237","3600.0",,"Other"
"1034","Galacturonic acid","MG","238","3700.0",,"Other"
"1035","Gallic acid","MG","239","3800.0",,"Other"
"1036","Glycolic acid","MG","240","3900.0",,"Other"
"1037","Isocitric acid","MG","241","4000.0",,"Other"
"1038","Lactic acid","MG","242","4100.0",,"Other"
"1039","Malic acid","MG","243","4200.0",,"Other"
"1040","Oxaloacetic acid","MG","244","4300.0",,"Other"
"1041","Oxalic acid","MG","245","4400.0",,"Other"
"1042","Phytic acid","MG","246","4500.0",,"Other"
"1043","Pyruvic acid","MG","247","4600.0",,"Other"
"1044","Quinic acid","MG","248","4700.0",,"Other"
"1045","Salicylic acid","MG","249","4800.0",,"Other"
"1046","Succinic acid","MG","250","4900.0",,"Other"
"1047","Tartaric acid","MG","251","5000.0",,"Other"
"1048","Ursolic acid","MG","252","5100.0",,"Other"
"1049","Solids, non-fat","G","253","999999.0",,"Other"
"1051","Water","G","255","100.0",,"Other"
"1052","Adjusted Nitrogen","G","256","999999.0",,"Other"
"1054","Piperine","G","259","999999.0",,"Other"
"1057","Caffeine","MG","262","18300.0",,"Other"
"1058","Theobromine","MG","263","18400.0",,"Other"
"1059","Nitrates","MG","264","999999.0",,"Other"
"1060","Nitrites","MG","265","999999.0",,"Other"
"1061","Nitrosamine,total","MG","266","999999.0",,"Other"
"1064","Solids, soluble","G","271","999999.0",,"Other"
"1083","Theophylline","MG","296","999999.0",,"Other"
"1116","Phytoene","UG","330","7570.0",,"Other"
"1117","Phytofluene","UG","331","7580.0",,"Other"
"1181","Inositol","MG","422","2800.0",,"Other"
"1182","Inositol phosphate","MG","423","999999.0",,"Other"
"1198","Betaine","MG","454","7290.0",,"Other"
"1200","p-Hydroxy benzoic acid","MG","460","999999.0",,"Other"
"1201","Caffeic acid","MG","461","999999.0",,"Other"
"1202","p-Coumaric acid","MG","462","999999.0",,"Other"
"1203","Ellagic acid","MG","463","999999.0",,"Other"
"1204","Ferrulic acid","MG","464","999999.0",,"Other"
"1205","Gentisic acid","MG","465","999999.0",,"Other"
"1206","Tyrosol","MG","466","999999.0",,"Other"
"1207","Vanillic acid","MG","467","999999.0",,"Other"
"1208","Phenolic acids, total","MG","469","999999.0",,"Other"
"1209","Polyphenols, total","MG","470",999999.0,,Other
"1340","Daidzein","MG","710","19100.0",,"Other"
"1341","Genistein","MG","711","19200.0",,"Other"
"1342","Glycitein","MG","712","19300.0",,"Other"
"1343","Isoflavones","MG","713","19000.0",,"Other"
"1344","Biochanin A","MG","714","999999.0",,"Other"
"1345","Formononetin","MG","715","999999.0",,"Other"
"1346","Coumestrol","MG","716","999999.0",,"Other"
"1347","Flavonoids, total","MG","729","999999.0",,"Other"
"1348","Anthocyanidins","MG","730","19400.0",,"Other"
"1349","Cyanidin","MG","731","19500.0",,"Other"
"1350","Proanthocyanidin (dimer-A linkage)","MG","732","19510.0",,"Other"
"1351","Proanthocyanidin monomers","MG","733","19520.0",,"Other"
"1352","Proanthocyanidin dimers","MG","734","19530.0",,"Other"
"1353","Proanthocyanidin trimers","MG","735","19540.0",,"Other"
"1354","Proanthocyanidin 4-6mers","MG","736","19550.0",,"Other"
"1355","Proanthocyanidin 7-10mers","MG","737","19560.0",,"Other"
"1356","Proanthocyanidin polymers (>10mers)","MG","738","19570.0",,"Other"
"1357","Delphinidin","MG","741","19600.0",,"Other"
"1358","Malvidin","MG","742","19700.0",,"Other"
"1359","Pelargonidin","MG","743","19800.0",,"Other"
"1360","Peonidin","MG","745","19900.0",,"Other"
"1361","Petunidin","MG","746","20000.0",,"Other"
"1362","Flavans, total","MG","747","20100.0",,"Other"
"1363","Catechins, total","MG","748","20200.0",,"Other"
"1364","Catechin","MG","749","20300.0",,"Other"
"1365","Epigallocatechin","MG","750","20400.0",,"Other"
"1366","Epicatechin","MG","751","20500.0",,"Other"
"1367","Epicatechin-3-gallate","MG","752","20600.0",,"Other"
"1368","Epigallocatechin-3-gallate","MG","753","20700.0",,"Other"
"1369","Procyanidins, total","MG","754","20800.0",,"Other"
"1370","Theaflavins","MG","755","20900.0",,"Other"
