ingredient_id,display_name,source_count,top_similarity,Energy,Energy,Energy,Energy,Carbohydrate,"Sugars, Total",Fiber,Total Sugars,Fiber (AOAC 2011.25),Total fat,Cholesterol,"Fatty acids, total saturated",DHA,EPA,ALA,Protein,"Vitamin A, RAE",Vitamin E,Vitamin D (D2 + D3),Vitamin E,Vitamin C,Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,Choline,Vitamin K2 MK-4,Vitamin K1,Vitamin E,Vitamin A,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Iodine,Manganese,Molybdenum,Selenium
amaretti_cookie,Amaretti Cookie,1,0.0,460.0,460.0,460.0,460.0,61.22,,5.1,45.16,,22.55,0.0,20.099,0.0,0.0,,3.02,0.0,0.19,0.0,0.19,0.0,0.02,0.06,0.22,,0.096,3.0,0.0,9.1,,1.1,0.19,,5.0,0.82,29.0,68.0,123.0,241.0,0.73,0.269,,,,6.8
amaretto,Amaretto,1,0.7943495131195736,279.0,279.0,279.0,279.0,33.2,,0.0,33.27,,0.11,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.009,0.008,,0.001,0.0,0.0,0.0,,0.0,0.0,,0.0,0.04,0.0,3.0,2.0,1.0,0.03,0.016,,,,0.2
amazake,Amazake,2,0.0,52.642447418738044,52.642447418738044,52.642447418738044,52.642447418738044,9.06,,0.0,8.91,,0.06,0.0,0.012,0.0,0.0,,0.105,0.0,0.01,0.0,0.01,1.65,0.011,0.029,0.669,0.037,0.0245,9.0,0.015,7.25,,0.0,0.01,,5.5,0.045,5.5,11.5,17.5,9.0,0.015,0.008,,0.013,,0.75
american_cheese,American Cheese,3,0.7117619730667342,375.6195028680688,375.6195028680688,375.6195028680688,375.6195028680688,3.9749999999999996,3.76,0.0,0.45,,31.430000000000003,94.0,18.55033333333333,0.0003333333333333333,0.005999999999999999,0.152,19.85,254.0,0.27,0.6,0.27,0.0,0.03,0.35,0.07,,0.07,8.0,0.7,36.2,,2.6,0.27,,562.0,0.315,23.5,562.5,167.5,803.5,2.72,0.036000000000000004,54.1,0.018,,12.7
anaheim_chile,Anaheim Chile,3,0.489747729014739,31.307202039515612,31.307202039515612,31.307202039515612,31.307202039515612,6.72,,2.766666666666667,3.0,,0.3666666666666667,0.0,0.039,0.0,0.0,,1.7733333333333334,31.0,0.69,0.0,0.69,135.96666666666667,0.084,0.066,1.1446666666666667,0.163,0.33066666666666666,27.0,0.0,8.633333333333333,,11.1,0.69,,15.333333333333334,0.7066666666666667,19.666666666666668,36.666666666666664,284.0,11.0,0.26666666666666666,0.12066666666666666,,0.16849999999999998,,0.3666666666666667
ancho_chile,Ancho Chile,1,0.38147393838819477,281.0707456978967,281.0707456978967,281.0707456978967,281.0707456978967,51.42,,21.6,,,8.2,0.0,0.82,0.0,0.0,,11.86,1022.0,,0.0,,2.0,0.179,2.255,6.403,1.993,3.535,69.0,0.0,,,,,,61.0,10.93,113.0,201.0,2411.0,43.0,1.42,0.508,,1.279,,2.9
anchovy,Anchovy,2,1.1247786583003905,170.5,170.5,170.5,170.5,0.0,,0.0,0.0,,7.275,72.5,1.7425,1.1015000000000001,0.6505000000000001,,24.62,13.5,1.95,1.7,1.95,0.0,0.0665,0.3095,16.9635,0.645,0.173,11.0,0.75,85.0,,6.1,1.95,,189.5,3.94,55.0,213.0,463.5,1886.0,2.08,0.275,,0.07,,52.3
andouille_sausage,Andouille Sausage,2,0.0,350.0,350.0,350.0,350.0,1.2,,0.0,0.93,,31.520000000000003,60.5,11.14,0.003,0.002,0.123,14.315000000000001,27.0,0.99,1.4,0.99,0.0,0.223,0.147,5.418,0.69,0.174,2.0,0.92,52.5,18.3,0.3,0.99,,18.5,1.04,15.0,133.0,307.0,862.0,2.01,0.057,,0.017,,17.8
angelica_root,Angelica Root,2,0.5443426784535981,72.41873804971318,72.41873804971318,72.41873804971318,72.41873804971318,17.51,,1.5,8.73,,0.2,0.0,0.048,,,,1.4,0.0,,0.0,,5.0,0.04,0.03,0.4,0.323,0.241,23.0,0.0,,,,,,41.0,0.8,22.0,61.0,290.0,50.0,0.33,0.077,,0.233,,0.7
anise,Anise,1,0.9548768916912167,337.23709369024857,337.23709369024857,337.23709369024857,337.23709369024857,50.02,,14.6,,,15.9,0.0,0.586,0.0,0.0,,17.6,16.0,,0.0,,21.0,0.34,0.29,3.06,0.797,0.65,10.0,0.0,,,,,,646.0,36.96,170.0,440.0,1441.0,16.0,5.3,0.91,,2.3,,5.0
anisette,Anisette,1,0.0,279.0,279.0,279.0,279.0,33.2,,0.0,33.27,,0.11,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.009,0.008,,0.001,0.0,0.0,0.0,,0.0,0.0,,0.0,0.04,0.0,3.0,2.0,1.0,0.03,0.016,,,,0.2
annatto_seed,Annatto Seed,1,0.0,89.0,89.0,89.0,89.0,17.28,,,,,0.53,0.0,0.088,,,,4.13,1.0,,0.0,,0.0,0.171,0.04,0.429,0.228,0.168,28.0,0.0,,,,,,44.0,0.95,56.0,168.0,367.0,1.0,0.28,0.094,,0.621,,
aonori,Aonori,1,0.6822311281489896,298.0,298.0,298.0,298.0,52.39,,5.6,3.04,,4.01,0.0,1.356,0.0,0.044,,31.84,14.0,5.0,0.0,5.0,5.0,1.195,1.946,6.511,,0.334,337.0,0.0,64.6,,25.0,5.0,,372.0,24.95,482.0,85.0,1244.0,575.0,3.9,3.355,,,,7.3
apple,Apple,5,1.1104190492818018,61.0,61.0,61.0,61.0,14.8,,2.0140000000000002,12.603,,0.11000000000000001,0.0,0.028,0.0,0.0,,0.17,3.0,0.18,0.0,0.18,4.6,0.01,0.07,0.0892,,0.031799999999999995,0.0,0.0,3.4,,2.2,0.18,,5.362,0.026600000000000002,4.696,8.886,100.96,0.0,0.01358,0.03178,,0.032749999999999994,,0.0
apple_brandy,Apple Brandy,1,0.8314005123364023,231.0,231.0,231.0,231.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.004,0.013,,0.001,0.0,0.0,0.0,,0.0,0.0,,0.0,0.04,0.0,4.0,2.0,1.0,0.04,0.021,,,,0.0
apple_cider,Apple Cider,1,1.55,491.0,491.0,491.0,491.0,76.36,,1.8,43.64,,20.0,0.0,1.82,,,,5.45,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,
apple_cider_vinegar,Apple Cider Vinegar,1,0.5502682897924216,21.510516252390055,21.510516252390055,21.510516252390055,21.510516252390055,0.93,,0.0,0.4,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,7.0,0.2,5.0,8.0,73.0,5.0,0.04,0.008,,0.249,,0.1
